#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
'Chrysanthemum coronarium' phytoplasma	Bacteria	Tenericutes	Mollicutes	0.739592	-	-	-	1
Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	2.04344	-	-	-	1
Acaricomes phytoseiuli	Bacteria	Actinobacteria	Actinobacteria	2.41952	-	-	-	1
Acaryochloris	Bacteria	Cyanobacteria	Oscillatoriophycideae	7.87548	-	-	-	1
Acaryochloris marina	Bacteria	Cyanobacteria	Oscillatoriophycideae	8.3616	1	-	9	1
Acetivibrio cellulolyticus	Bacteria	Firmicutes	Clostridia	6.15674	-	-	-	1
Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	3.69077	-	-	2	3
Acetobacter malorum	Bacteria	Proteobacteria	Alphaproteobacteria	3.51343	-	-	-	1
Acetobacter nitrogenifigens	Bacteria	Proteobacteria	Alphaproteobacteria	4.27052	-	-	-	1
Acetobacter okinawensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.16624	-	-	-	1
Acetobacter papayae	Bacteria	Proteobacteria	Alphaproteobacteria	3.04108	-	-	-	1
Acetobacter pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	3.34025	1	-	7	13
Acetobacter persici	Bacteria	Proteobacteria	Alphaproteobacteria	3.70195	-	-	-	1
Acetobacter pomorum	Bacteria	Proteobacteria	Alphaproteobacteria	2.88342	-	-	-	2
Acetobacter tropicalis	Bacteria	Proteobacteria	Alphaproteobacteria	3.74669	-	-	-	2
Acetobacteraceae bacterium AT-5844	Bacteria	Proteobacteria	Alphaproteobacteria	5.19055	-	-	-	1
Acetobacterium dehalogenans	Bacteria	Firmicutes	Clostridia	4.05007	-	-	-	1
Acetobacterium woodii	Bacteria	Firmicutes	Clostridia	4.04478	1	-	-	1
Acetohalobium arabaticum	Bacteria	Firmicutes	Clostridia	2.4696	1	-	-	1
Acetonema longum	Bacteria	Firmicutes	Negativicutes	4.32301	-	-	-	1
Acetothermia bacterium SCGC AAA255-C06	Bacteria	unclassified Bacteria	Acetothermia	0.669384	-	-	-	1
Acholeplasma axanthum	Bacteria	Tenericutes	Mollicutes	1.80712	-	-	-	1
Acholeplasma equifetale	Bacteria	Tenericutes	Mollicutes	1.28237	-	-	-	1
Acholeplasma granularum	Bacteria	Tenericutes	Mollicutes	1.45354	-	-	-	1
Acholeplasma hippikon	Bacteria	Tenericutes	Mollicutes	1.43045	-	-	-	1
Acholeplasma laidlawii	Bacteria	Tenericutes	Mollicutes	1.49699	1	-	-	1
Acholeplasma modicum	Bacteria	Tenericutes	Mollicutes	1.21918	-	-	-	1
Acholeplasma multilocale	Bacteria	Tenericutes	Mollicutes	0.924993	-	-	-	1
Achromobacter	Bacteria	Proteobacteria	Betaproteobacteria	7.13895	-	-	-	2
Achromobacter arsenitoxydans	Bacteria	Proteobacteria	Betaproteobacteria	6.15666	-	-	-	1
Achromobacter piechaudii	Bacteria	Proteobacteria	Betaproteobacteria	6.8922	-	-	-	2
Achromobacter xylosoxidans	Bacteria	Proteobacteria	Betaproteobacteria	7.35915	1	-	2	6
Acidaminococcus	Bacteria	Firmicutes	Negativicutes	2.28786	-	-	-	3
Acidaminococcus fermentans	Bacteria	Firmicutes	Negativicutes	2.32977	1	-	-	1
Acidaminococcus intestini	Bacteria	Firmicutes	Negativicutes	2.48777	1	-	-	2
Acidicaldus organivorans	Bacteria	Proteobacteria	Alphaproteobacteria	2.98963	-	-	-	1
Acidimicrobium ferrooxidans	Bacteria	Actinobacteria	Actinobacteria	2.15816	1	-	-	1
Acidiphilium	Bacteria	Proteobacteria	Alphaproteobacteria	4.18836	-	-	-	2
Acidiphilium angustum	Bacteria	Proteobacteria	Alphaproteobacteria	4.17541	-	-	-	1
Acidiphilium cryptum	Bacteria	Proteobacteria	Alphaproteobacteria	3.96308	1	-	8	1
Acidiphilium multivorum	Bacteria	Proteobacteria	Alphaproteobacteria	4.21474	1	-	8	1
Acidithiobacillus	Bacteria	Proteobacteria	Gammaproteobacteria	3.17493	-	-	-	1
Acidithiobacillus caldus	Bacteria	Proteobacteria	Gammaproteobacteria	3.2376	1	-	4	2
Acidithiobacillus ferrivorans	Bacteria	Proteobacteria	Gammaproteobacteria	3.43367	1	-	-	2
Acidithiobacillus ferrooxidans	Bacteria	Proteobacteria	Gammaproteobacteria	2.9824	1	-	2	2
