Melampsora larici-populina 98AG31
Michenera artocreas
Abaphospora rhopalosperma
Abrothallomyces protothallini
Abrothallus bertianus
Absconditella sphagnorum
Abyssomyces hydrozoicus
Acallomyces homalotae
Acantharia echinata
Acanthothecium pachygraphoides
Acanthothecium clavuliferum
Acanthomyces lasiophora
Acanthonitschkea argentinensis
Acanthophiobolus helminthosporus
Acanthorhynchus vaccinii
Acanthostigma perpusillum
Acanthostigmella genuflexa
Acanthostigmella hypocrellae
Acanthostigmina minuta
Acanthostoma wattii
Acanthotheca barbata
Acanthotheciella barbata
Acanthothecis pachygraphoides
Acanthothecis pachygraphoides
Acanthothecium pachygraphoides
Acanthothecomyces pachygraphoidis
Acariniola subbasalipunctata
Acarospora schleicheri
Acarosporina monilifera
Acarosporomyces chlorophanae
Acarothallium hansfordii
Acerbia culmigena
Acerbiella macrospora
Acervus aurantiacus
Acetabula vulgaris
Achaetobotrys affinis
Achaetomiella virescens
Achaetomium globosum
Achorella ametableta
Achorodothis poasensis
Aciculosporium take
Acoliomyces ocellati
Acolium sessile
Acolium notarisii
Acompsomyces corticariae
Acrocordia garovaglioi
Acrocordiella occulta
Acrocordiomyces conoideae
Acrogenotheca pulcherrima
Acrogynomyces eumicri
Acroscyphus sphaerophoroides
Acrospermoides subulata
Acrospermum compressum
Thamnomyces annulipes
Acrotellomyces lariani
Acrotellum larianum
Actidium hysterioides
Actiniopsis bambusae
Actinocymbe separato-setosa
Actinodothidopsis coprosmae
Actinodothis piperis
Actinoglyphis leprieurii
Actinogyra muehlenbergii
Actinomyxa australiensis
Actinopelte theobaldii
Actinopeltella nitida
Actinopeltis peristomalis
Actinoplaca strigulacea
Actinoplacomyces strigulaceae
Actinoscypha graminis
Actinosoma adianti
Actinospira chartarum
Actonia tropicalis
Adelococcus alpestris
Adelodiscus philippinensis
Adelolecia pilati
Adelomyces discolomidinus
Adelopus nudus
Adermatis nylanderiana
Adomia avicenniae
Aglaospora profusa
Aglaothecium saxicola
Agonimia tristicula
Agostaea lantanae
Agrestia cyphellata
Agyrina sexdecimspora
Agyriopsis bethelii
Agyrium rufum
Agyrona calami
Agyronella lagunculariae
Agyrophora atropruinosa
Ahlesia lichenicola
Ahtia wallichiana
Ainsworthia zanthoxyli
Aipospila wahlenbergii
Aithaloderma clavatisporum
Aivenia tantula
Ajellomyces dermatitidis
Akaropeltella kielmeyerae
Akaropeltis kielmeyerae
Akaropeltopsis machaeriifolii
Akrophyton tuberculatum
Albertiniella reticulata
Albocrustum atropunctatum
Alboffia oreophila
Albomyces take
Albotricha acutipila
Aldona stella-nigra
Alectoria sarmentosa
Alectoria articulata
Alectoriomyces sarmentosae
Aleuria aurantia
Aleuria vesiculosa
Aleuriella personata
Aleurina retiderma
Algincola quercina
Scorias spongiosa
Alina jasmini
Allantonectria yuccae
Allantoparmelia alpicola
Allantoporthe tessella
Allarthonia patellulata
Allarthoniomyces elliotii
Allarthotheliomyces elliottii
Allarthothelium elliottii
Allescheria gayoni
Allescherina clematidis
Allographa lutea
Allonecte lagerheimii
Allonectella rubescens
Allophylaria subliciformis
Allophoron farinosum
Allosoma cestri
Allothyrium marcgraviae
Almbornia cafferensis
Almeidaea vermispora
Aloysiella ruwenzorensis
Erysiphe polygoni
Alyxoria diaphora
Amandinea coniops
Amarenomyces ammophilae
Amauroascus verrucosus
Amazonia psychotriae
Amazoniella straussiae
Amazonotheca santiriae
Ambrosiozyma monospora
Ameghiniella australis
Amerodothis ilicis
Ameromassaria japonica
Amorphomyces falagriae
Amorphotheca resinae
Amphididymella adeana
Amphiloma murorum
Amphilomopsis citrina
Amphimyces cerylonis
Amphinectria portoricensis
Amphinomium pannarinum
Amphiporthe hranicensis
Amphischizonia holleana
Amphisphaerella amphisphaerioides
Amphisphaerellula fagi
Amphisphaeria umbrina
Amphopsis phylliscina
Amphoridium baldense
Amphorulopsis polygonacearum
Ampullaria aurea
Ampullina rubella
Amygdalaria pelobotryon
Amylascus herbertianus
Amylirosa aurantiorum
Amylis memorabilis
Amylocarpus encephaloides
Anaptychia ciliaris
Anapyrenium aegyptiacum
Anariste poliothea
Anatexis elmeri
Andreanszkya vertesensis
Anema decipiens
Angatia eugeniae
Angelina conglomerata
Phaeangium lefebvrei
Angiotheca scabra
Anhellia tristis
Aniptodera chesapeakensis
Anisochora topographica
Anisogramma virgultorum
Arthopyrenia xylogena
Anisomyces papilloideoseptatus
Anisomycopsis rosae
Anisostomula cookeana
Anixiella reticulata
Anixiopsis stercoraria
Annajenkinsia fungicola
Anomomorpha turbulenta
Anopeltis venezuelensis
Anopodium ampullaceum
Anserina globosa
Antarctomia subcorallinoides
Antennataria pinophila
Antennella usteri
Antennellina hawaiiensis
Antennellopsis mangiferae
Antennaria ericophila
Antennospora caribbea
Antennularia ericophila
Antennulariella fuliginosa
Anthomyces reukaufii
Anthopeziza winteri
Anthostoma decipiens
Anthostomaria apogyra
Anthostomella limitata
Anthostomellina carpinea
Peziza melaloma
Anthracostroma persooniae
Anthracothecium doleschallii
Anthracothecomyces variolosi
Peltigera canina
Antimanoa grisleae
Antinoa acuum
Antrocarpon feeanum
Antrocarpum depressum
Anzia colpodes
Anzia aterrima
Anziella adglutinata
Aparaphysaria doelloi
Apatelomyces ogmoceri
Apatomyces laboulbenioides
Apatoplaca oblongula
Aphanandromyces audisioi
Aphanoascus cinnabarinus
Aphanopeltis phoebes
Aphanostigme solani
Hercospora nigrescens
Aphragmia microsperma
Aphysa rhynchosiae
Apinisia graminicola
Apiocrea chrysosperma
Apiodiscus gillii
Apiodothina verrucosa
Apiognomonia veneta
Apioplagiostoma populi
Apioporthe anomala
Apioporthella bavarica
Apiorhynchostoma apiculata
Apiosordaria verruculosa
Apiosphaeria guaranitica
Apiospora montagnei
Apiosporella sepincoliformis
Apiosporina collinsii
Apiosporina corni
Apiosporopsis saccardoana
Apiothyrium arcticum
Apiotrabutia arrabidaeae
Apiotypa philippinensis
Aplacodina chondrospora
Aplotomma turgidum
Apoa petrakii
Apodospora simulans
Apodothina pringlei
Apodus deciduus
Apomella casuarinae
Aponectria inaurata
Aporhytisma urticae
Aporomyces uniflagellatus
Aporothielavia leptoderma
Aposphaeriella gregaria
Aposphaeriopsis domestica
Apostemidium fiscellum
Apostemium fiscellum
Appendicularia entomophila
Appendiculella calostroma
Appendiculina entomophila
Arachniotus ruber
Arachnocrea stipata
Arachnomyces nitidus
Arachnopeziza aurelia
Arachnopezizella aurata
Dasyscyphus aranea
Arachnotheca glomerata
Asterina pleurostyliae
Arcangelia hepaticarum
Arctoheppia scholanderi
Arctomia delicatula
Arenaea javanica
Arenariomyces trifurcatus
Areolospora terrophila
Argopsis megalospora
Argynna polyhedron
Ariefia paradoxa
Armata macrospora
Armatella litseae
Arnaudia quercina
Arnaudiella caronae
Arniella echoura
Arnium lanuginosum
Arnoldia cyathodes
Arpinia inops
Arrhenosphaera craneae
Artallendea cinnamomi
Arthonaria fraxini
Arthonia radiata
Arthoniactis ostrearum
